id,name,weight_type,host,model_type,model_subfolder,repo_id,filename,subfolder,repo_type,revision
1,RemixV2-I2V-Low,fp8,civitai,diffusion_models,wan2.2/remix,2003153,0,,,2289612
2,RemixV2-I2V-High,fp8,civitai,diffusion_models,wan2.2/remix,2003153,0,,,2289612
3,Wan-22-T2V-14B-High,fp16,hf,diffusion_models,wan2.2,Comfy-Org/Wan_2.2_ComfyUI_Repackaged,split_files/diffusion_models/wan2.2_t2v_high_noise_14B_fp16.safetensors,,,
4,Wan-22-T2V-14B-Low,fp16,hf,diffusion_models,wan2.2,Comfy-Org/Wan_2.2_ComfyUI_Repackaged,split_files/diffusion_models/wan2.2_t2v_low_noise_14B_fp16.safetensors,,,
5,Wan-22-T2V-14B-High-FP8,fp8,hf,diffusion_models,wan2.2,Comfy-Org/Wan_2.2_ComfyUI_Repackaged,split_files/diffusion_models/wan2.2_t2v_high_noise_14B_fp8_scaled.safetensors,,,
6,Wan-22-T2V-14B-Low-FP8,fp8,hf,diffusion_models,wan2.2,Comfy-Org/Wan_2.2_ComfyUI_Repackaged,split_files/diffusion_models/wan2.2_t2v_low_noise_14B_fp8_scaled.safetensors,,,
6,Wan-22-Anim-14B-BF16,bf16,hf,diffusion_models,wan2.2,Comfy-Org/Wan_2.2_ComfyUI_Repackaged,split_files/diffusion_models/wan2.2_animate_14B_bf16.safetensors,,,
