name,weight_type,host,model_type,model_subfolder,repo_id,filename,subfolder,repo_type,revision
bfl-flux-1-fp16,fp16,hf,vae,flux1,black-forest-labs/FLUX.1-dev,ae.safetensors
comfy-wan-21-fp16,fp16,hf,vae,comfy-wan,Comfy-Org/Wan_2.2_ComfyUI_Repackaged,wan_2.1_vae.safetensors,split_files/vae
comfy-wan-22-fp16,fp16,hf,vae,comfy-wan,Comfy-Org/Wan_2.2_ComfyUI_Repackaged,wan2.2_vae.safetensors,split_files/vae
comfy-flux-2-dev-fp16,fp16,hf,vae,comfy-flux2,Comfy-Org/flux2-dev,flux2-vae.safetensors,split_files/vae,,
kj-wan-21-bf16,bf16,hf,vae,kj-wan,Kijai/WanVideo_comfy,Wan2_1_VAE_bf16.safetensors,,,
kj-wan-22-bf16,bf16,hf,vae,kj-wan,Kijai/WanVideo_comfy,Wan2_2_VAE_bf16.safetensors,,,
comfy-qwen,fp16,hf,vae,comfy-qwen,Comfy-Org/Qwen-Image_ComfyUI,qwen_image_vae.safetensors,split_files/vae,,
comfy-flux-2-klein-fp16,fp16,hf,vae,comfy-flux2,Comfy-Org/vae-text-encorder-for-flux-klein-9b,flux2-vae.safetensors,split_files/vae,,
comfy-flux-2-fp16,fp16,hf,vae,comfy-flux2,Comfy-Org/flux2-dev,flux2-vae.safetensors,split_files/vae,,
